title,doc_number,cust_ref,revision,discipline,class,subtype,source_sheet,discipline_inferred,score,top_weight,confidence,runner_up,runner_up_score
"PHSER REVIEW AND CLOSEOUT (III, IV AND V)",6569-01-001-M1242-004-01,30-99-97-XXXX,,ENGG HSE,Documents,Reports,package b schdule.xls,,6,4,medium,CRS,0
DESIGN CALCULATION FOR STANDARD INSERT PLATES,6569-10-100-C1310-001-01,30-99-83-1601,,CIVIL,Documents,Calculations,package b schdule.xls,,5,5,high,Specifications,3
DESIGN CALCULATION OF LIFTING HOOK FOR PRECAST ELEMENTS,6569-10-100-C1320-001-01,30-99-83-1602,,CIVIL,Documents,Calculations,package b schdule.xls,,5,5,high,CRS,0
PIPELINE DESIGN BASIS,6569-10-100-C1366-001-01,30-76-91-1601,C,PIPNG,Documents,Reports,package b schdule.xls,,5,5,high,CRS,0
INSPECTION PLAN FOR WELL HEAD CONTROL PANEL INSTALLATION WORKS PROCEDURE,6569-10-100-D1139-009-01,30-99-90-1637,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,PROJECTS,8,5,high,CRS,0
AS BUILT - PROCEDURE,6569-10-100-D1139-010-01,30-99-90-1811,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,PROJECTS,5,5,high,CRS,0
METHOD STATEMENT FOR INSTALLATION AND COMMISSIONING  OF GL WELL CATHODIC PROTECTION SYSTEM,6569-10-100-D1139-011-01,30-99-90-1815,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,ELEC,5,5,high,CRS,0
METHOD STATMENT FOR SHAH MSM,6569-10-100-D1139-012-01,29-99-90-1602,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,,5,5,high,CRS,0
PROCEDURE QUALIFICATION RECORD FOR PROCESS PIPING WELDING - SHOP & FIELD (PQR-P-06-16,6569-10-100-D1139-013-01,30-99-97-1722,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,PIPNG,5,5,high,CRS,0
WELDING PROCEDURE SPECIFICATION FOR PROCESS PIPING WELDING (CS) - SHOP & FIELD WPS-P-06-16 (With PWHT),6569-10-100-D1139-014-01,30-99-97-1723,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,PIPNG,5,5,high,Specifications,5
METHOD STATEMENT FOR INSTALLATION AND,6569-10-100-D1139-015-01,58-99-90-1603,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,PROJECTS,5,5,high,CRS,0
MS FOR ERECTION AND DISMANTLING OF SCAFFOLDING,6569-10-100-D1139-016-01,29-99-90-1604,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,,4,4,medium,CRS,0
PROCESS DESIGN BASIS,6569-10-100-D1222-001-01,30-99-91-1601,1,PROC,Documents,Reports,package b schdule.xls,,5,5,high,CRS,0
P&ID (TYP) LIFT GAS MANIFOLD AT RDS-5,6569-10-100-D1225-001-01,14-15-08-1628,,PROC,Drawings,Drawings,package b schdule.xls,PROC,5,5,high,CRS,0
Residual Engineering Activity for GL wells Construction Only,6569-10-100-D1229-001-01,30-99-11-1601,,PROC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
Residual Engineering Activity for WDW wells Construction Only,6569-10-100-D1229-002-01,30-99-11-1602,,PROC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
RESIDUAL ENGINEERING ACTIVITY FOR GL WELLS CONSTRUCTION ONLY,6569-10-100-D1229-003-01,14-99-11-1611,,INST,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
RESIDUAL ENGINEERING ACTIVITY FOR WDW WELLS CONSTRUCTION ONLY,6569-10-100-D1229-004-01,14-99-11-1612,,INST,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
Residual Engineering Activity for GL wells Construction Only,6569-10-100-D1229-005-01,14-99-11-1609,,PIPNG,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
Residual Engineering Activity for WDW wells Construction Only,6569-10-100-D1229-006-01,14-99-11-1610,,PIPNG,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
STANDARD DRAWING TYPICAL SLOPE STABILIZATION DETAILS,6569-10-100-D1310-001-01,30-99-76-1611,1,CIVIL,Drawings,Drawings,package b schdule.xls,,13,5,high,Specifications,3
STANDARD DRAWING TYPICAL DETAILS OF CABLE DUCT BANK (CAST-IN-SITU),6569-10-100-D1310-002-01,30-99-76-1612,A,CIVIL,Drawings,Drawings,package b schdule.xls,,13,5,high,Specifications,3
Residual Engineering Activity for WDW wells Construction Only,6569-10-100-D1310-003-01,30-99-11-1603,,CIVIL,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
Residual Engineering Activity for GL wells Construction Only,6569-10-100-D1310-004-01,30-99-11-1604,,CIVIL,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
STANDARD DRAWING TYPICAL DETAILS OF CABLE ROUTE MARKERS AND POST,6569-10-100-D1317-001-01,30-99-76-1604,A,CIVIL,Drawings,Drawings,package b schdule.xls,,17,5,high,Specifications,3
STANDARD DRAWING TYPICAL DETAIL OF RC PAVINGS,6569-10-100-D1317-002-01,30-99-76-1613,1,CIVIL,Drawings,Drawings,package b schdule.xls,,13,5,high,Specifications,3
STANDARD DRAWING TYPICAL DETAIL OF ELECTRICAL EARTH PIT,6569-10-100-D1317-003-01,30-99-76-1614,1,CIVIL,Drawings,Drawings,package b schdule.xls,ELEC,13,5,high,Specifications,3
STANDARD DRAWING TYPICAL DETAIL OF DEEP WELL ELECTRICAL EARTH PIT,6569-10-100-D1317-004-01,30-99-76-1615,1,CIVIL,Drawings,Drawings,package b schdule.xls,ELEC,13,5,high,Specifications,3
STANDARD DRAWING SECURITY FENCING & GATE TYPE 1 FOR REMOTE DEGASSING STATIONS (RDS) (Page 1 of 6),6569-10-100-D1318-001-01,30-99-76-1617,1,CIVIL,Drawings,Drawings,package b schdule.xls,,9,5,high,Specifications,3
STANDARD DRAWING TYPICAL DETAIL OF LIFTING HOOK FOR PRECAST ELEMENT,6569-10-100-D1320-001-01,30-99-76-1605,1,CIVIL,Drawings,Drawings,package b schdule.xls,,13,5,high,Specifications,3
STANDARD DRAWING TYPICAL DETAILS FOR INSERT PLATES,6569-10-100-D1320-002-01,30-99-76-1616,1,CIVIL,Drawings,Drawings,package b schdule.xls,,13,5,high,Specifications,3
STANDARD DRAWING FOUNDATION AND REINFORCMENT DETAILS FOR INSTRUMENTATION INSTALLATION,6569-10-100-D1320-003-01,30-99-76-1618,A,CIVIL,Drawings,Drawings,package b schdule.xls,CIVIL,15,5,high,Specifications,3
STANDARD DRAWING FOUNDATION AND REINFORCEMENT DEATAILS FOR ELECTRICAL INSTALLATION,6569-10-100-D1320-004-01,30-99-76-1619,A,CIVIL,Drawings,Drawings,package b schdule.xls,CIVIL,13,5,high,Specifications,3
STANDARD DRAWING FOUNDATION AND REINFORCEMENT DETAILS FOR TELECOM INSTALLATIONS,6569-10-100-D1320-005-01,30-99-76-1620,A,CIVIL,Drawings,Drawings,package b schdule.xls,CIVIL,15,5,high,Specifications,3
TYPICAL DETAILS FOR CRASH BARRIER AND BOLLARDS,6569-10-100-D1320-006-01,30-99-76-1621,,CIVIL,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
TYPICAL DETAILS FOR TRAFFIC BARRIER FOR HYDRANT,6569-10-100-D1320-007-01,30-99-76-1622,A,CIVIL,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
TYPICAL DETAILS PROTECTIVE PIPE BARRIERS WELLHEAD AREA,6569-10-100-D1320-008-01,30-99-76-1624,A,CIVIL,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
STANDARD DRAWING TYPICAL DETAIL OF POLE AND FOUNDATION FOR HSE SIGN BOARDS,6569-10-100-D1320-009-01,30-70-76-1625,,CIVIL,Drawings,Drawings,package b schdule.xls,HSE,17,5,high,Specifications,3
TYPICAL PIPELINE SLEEPER (TYPE-1) DETAILS AT BENDS IN SABKHA AREA (FOR SINGLE PIPELINE),6569-10-100-D1320-010-01,30-99-76-1626,,CIVIL,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
TYPICAL PIPELINE SLEEPER (TYPE-2A & 2B) DETAILS AT BENDS IN SABKHA AREA (FOR MULTIPLE PIPELINE),6569-10-100-D1320-011-01,30-99-76-1626,,CIVIL,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
TYPICAL PIPELINE SLEEPER (TYPE-3) DETAILS AT BENDS IN SABKHA AREA (FOR SINGLE PIPELINE),6569-10-100-D1320-012-01,30-99-76-1626,,CIVIL,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
"TYPICAL PIPELINE SLEEPER (TYPE-4, 5 & 6) DETAILS AT BENDS IN SABKHA AREA (FOR SINGLE PIPELINE)",6569-10-100-D1320-013-01,30-99-76-1626,,CIVIL,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
STANDARD DRAWING TYPICAL DETAILS FOR PROTECTION OF UG CABLE SERVICES AT ROAD CROSSINGS,6569-10-100-D1330-001-01,30-99-76-1603,A,CIVIL,Drawings,Drawings,package b schdule.xls,,13,5,high,Specifications,3
STANDARD DRAWING TYPICAL DETAILS FOR HANDRAIL,6569-10-100-D1330-003-01,30-99-76-1607,1,CIVIL,Drawings,Drawings,package b schdule.xls,,13,5,high,Specifications,3
STANDARD DRAWING TYPICAL DETAILS  FOR STRUCTURAL STEEL LADDER (Page 1 of 2),6569-10-100-D1330-004-01,30-99-76-1608,1,CIVIL,Drawings,Drawings,package b schdule.xls,CIVIL,13,5,high,Specifications,3
STANDARD DRAWING TYPICAL DETAILS FOR GRATING & STAIR TREDS,6569-10-100-D1330-005-01,30-99-76-1609,1,CIVIL,Drawings,Drawings,package b schdule.xls,,13,5,high,Specifications,3
STANDARD DRAWING MEMBER LIST,6569-10-100-D1330-006-01,30-99-76-1610,1,CIVIL,Drawings,Drawings,package b schdule.xls,,9,5,high,Lists_MTOs_BOMs,3
STANDARD DRAWING FOR ANCHOR BOLT DETAILS,6569-10-100-D1330-007-01,30-99-76-1623,A,CIVIL,Drawings,Drawings,package b schdule.xls,,11,5,high,Specifications,3
STANDARD DRAWING ANCHOR BOLT DETAILS,6569-10-100-D1330-008-01,30-96-76-1623,,CIVIL,Drawings,Drawings,package b schdule.xls,,11,5,high,Specifications,3
STANDARD DRAWING ANCHOR BOLT DETAILS,6569-10-100-D1330-008-02,30-96-76-1623,,CIVIL,Drawings,Drawings,package b schdule.xls,,11,5,high,Specifications,3
PIPING STANDARD DRAWINGS,6569-10-100-D1360-001-01,30-99-23-1601,,PIPNG,Drawings,Drawings,package b schdule.xls,PIPNG,9,5,high,Specifications,3
TYPICAL DETAILS OF PIPELINE IDENTIFICATION SLABS,6569-10-100-D1360-002-01,30-99-23-1631,1,PIPNG,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
TYPICAL DETAILS OF UNDERGROUND CABLE CROSSING,6569-10-100-D1360-003-01,30-99-23-1632,1,PIPNG,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
TYPICAL DETAIL OF OVERHEAD POWER LINE CROSSING,6569-10-100-D1360-004-01,30-99-23-1633,1,PIPNG,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
TYPICAL RIG CROSSING OVER BURIED PIPELINE & CABLES,6569-10-100-D1360-005-01,30-99-23-1634,1,PIPNG,Drawings,Drawings,package b schdule.xls,,2,2,low,CRS,0
TYPICAL DETAILS OF PIPELINE ROAD / SAND TRACK CROSSING,6569-10-100-D1360-006-01,30-99-23-1635,1,PIPNG,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
TYPICAL DETAILS OF  ASPHALT  ROAD CROSSING,6569-10-100-D1360-007-01,30-99-23-1636,1,PIPNG,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
TYPICAL PIPELINE MARKER & WARNING NOTICE,6569-10-100-D1360-008-01,30-99-23-1637,1,PIPNG,Drawings,Drawings,package b schdule.xls,,2,2,low,CRS,0
TYPICAL DETAILS ACCESS FOR ROAD / TRACK/RIG,6569-10-100-D1360-009-01,30-99-23-1638,1,PIPNG,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
TYPICAL DETAILS OF  CONCRETE SAFETY BARRIERS,6569-10-100-D1360-010-01,30-99-23-1639,1,PIPNG,Drawings,Drawings,package b schdule.xls,HSE,4,2,low,CRS,0
TYPICAL DETAILS OF  UNDERGROUND PIPE CROSSING,6569-10-100-D1360-011-01,30-99-23-1640,1,PIPNG,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
TYPICAL MARKER POST AND WARNING NOTICE DETAIL FOR SURFACE LAID FLOW LINES,6569-10-100-D1360-012-01,30-99-23-1641,1,PIPNG,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
TYPICAL PIPELINE R.O.W DIMENSIONS,6569-10-100-D1360-013-01,30-99-23-1643,1,PIPNG,Drawings,Drawings,package b schdule.xls,,2,2,low,CRS,0
TYPICAL PIPELINE TRENCH DETAILS,6569-10-100-D1360-014-01,30-99-23-1644,1,PIPNG,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
TYPICAL DETAILS OF  ASPHALT ROAD CROSSING FOR ABOVE GROUND PIPELINE  /  FLOWLINE,6569-10-100-D1360-015-01,30-99-23-1646,1,PIPNG,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
TYPICAL RIG CROSSING OVER FOR ABOVE GROUND PIPELINE / FLOWLINE,6569-10-100-D1360-016-01,30-99-23-1647,1,PIPNG,Drawings,Drawings,package b schdule.xls,,2,2,low,CRS,0
TYPICAL TRACK CROSSING DETAIL FOR ABOVE GROUND PIPELINE / FLOWLINES,6569-10-100-D1360-017-01,30-99-23-1648,1,PIPNG,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
TYPICAL DETAIL FOR SURFACE LAID PIPELINE CROSSING EXISTING SURFACE LAID PIPELINE,6569-10-100-D1360-018-01,30-99-23-1649,1,PIPNG,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
TYPICAL OVERHEAD POWERLINE CROSSING DETAIL FOR ABOVE GROUND PIPELINE / FLOWLINES,6569-10-100-D1360-019-01,30-99-23-1650,1,PIPNG,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
TYPICAL PIPE HURDLES SUPPORT DETAILS IN SABKHA AREA FOR PIPELINE / FLOWLINES,6569-10-100-D1360-020-01,30-99-23-1651,1,PIPNG,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
TYPICAL DETAILS OF PIPELINE CONSTRUCTION IN SABKHA AREA,6569-10-100-D1360-021-01,30-99-23-1652,B,PIPNG,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
ROW CROSSING OVER ABOVE GROUND PIPELINES,6569-10-100-D1360-022-01,30-99-23-1653,1,PIPNG,Undefined,Documents,package b schdule.xls,,0,0,low,CRS,0
TYPICAL DETAILS FOR ROAD / TRACK CROSSING FOR GRE PIPELINES,6569-10-100-D1360-023-01,30-99-23-1655,,PIPNG,Drawings,Drawings,package b schdule.xls,,4,2,low,CRS,0
DATA SHEET FOR MSM,6569-10-100-D1362-001-01,29-99-40-1614,1,INST,Documents,Datasheets,package b schdule.xls,,5,5,high,CRS,0
ELECTRICAL INSTALLATION DETAILS - POWER,6569-10-100-D1382-001-01,30-99-67-1611,B,ELEC,Drawings,Drawings,package b schdule.xls,,2,2,low,CRS,0
ELECTRICAL INSTALLATION DETAILS - EARTHING,6569-10-100-D1384-001-01,30-99-67-1612,2,ELEC,Drawings,Drawings,package b schdule.xls,ELEC,2,2,low,CRS,0
"STANDARD DRAWING GENERAL NOTES, ABBREVIATION AND LEGEND
 FOR CIVIL WORK (PAGE 2 OF 2)",6569-10-100-G1310-001-01,30-99-76-1601,1,CIVIL,Drawings,Drawings,package b schdule.xls,CIVIL,9,5,high,Specifications,6
"STANDARD DRAWING GENERAL NOTES, ABBREVATIONS AND LEGEND FOR STUCTURAL STEEL WORKS",6569-10-100-G1330-001-01,30-99-76-1602,1,CIVIL,Drawings,Drawings,package b schdule.xls,CIVIL,9,5,high,Specifications,6
SITE VISIT REPORT,6569-10-100-M1139-108-01,29-99-11-1601,,ENGG QA/QC,Documents,Reports,package b schdule.xls,,5,5,high,CRS,0
"PROPOSED WELDING PROCEDURE SPECIFICATION (PWPS-PL-04-16) For PIPELINE WELDING-X52 (ø6""x 11.0 mm)",6569-10-100-M1139-396-01,30-99-97-1810,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,PROJECTS,5,5,high,Specifications,5
"PROPOSED WELDING PROCEDURE SPECIFICATION (PWPS-PL-07-16) For PIPELINE WELDING-X52 (ø6""x 12.7 mm)",6569-10-100-M1139-397-01,30-99-97-1811,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,PROJECTS,5,5,high,Specifications,5
"PROPOSED WELDING PROCEDURE SPECIFICATION  (PWPS-PL-08-16) For PIPELINE WELDING-X52 (ø3""x 11.6 mm)",6569-10-100-M1139-398-01,30-99-97-1812,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,PROJECTS,5,5,high,Specifications,5
MAGNETIC PARTICLE EXAMINATION PROCEDURE STRUCTURAL STEEL FABRICATION,6569-10-100-M1139-399-01,30-99-97-1801,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,CIVIL,5,5,high,CRS,0
"PROPOSED WELDING PROCEDURE SPECIFICATION (PWPS-PL-23-16) For CS PIPELINE TO FITTING WELDING (6""x11mm) API 5L GR.X52 to MSS-SP",6569-10-100-M1139-546-01,30-99-97-1826,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,PROJECTS,5,5,high,Specifications,5
ASAB CONSTRUCTION DOCUMENT,6569-10-100-M1139-547-01,14-99-90-1703,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
ASAB CONSTRUCTION DOCUMENT,6569-10-100-M1139-548-01,14-99-90-1705,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
ASAB CONSTRUCTION DOCUMENT,6569-10-100-M1139-549-01,14-99-90-1706,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
ASAB CONSTRUCTION DOCUMENT,6569-10-100-M1139-550-01,14-99-90-1707,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
ASAB CONSTRUCTION DOCUMENT,6569-10-100-M1139-551-01,14-99-90-1708,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
ASAB CONSTRUCTION DOCUMENT,6569-10-100-M1139-552-01,14-99-90-1709,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
ASAB CONSTRUCTION DOCUMENT,6569-10-100-M1139-553-01,14-99-90-1710,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
ASAB CONSTRUCTION DOCUMENT,6569-10-100-M1139-554-01,14-99-90-1711,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
ASAB CONSTRUCTION DOCUMENT,6569-10-100-M1139-555-01,14-99-90-1712,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
ASAB CONSTRUCTION DOCUMENT,6569-10-100-M1139-556-01,14-99-90-1713,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
ASAB CONSTRUCTION DOCUMENT,6569-10-100-M1139-557-01,14-99-90-1714,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
SHAH CONSTRUCTION DOCUMENT,6569-10-100-M1139-630-01,29-71-93-1614,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
SHAH CONSTRUCTION DOCUMENT,6569-10-100-M1139-631-01,29-71-93-1615,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
SHAH CONSTRUCTION DOCUMENT,6569-10-100-M1139-632-01,29-71-93-1616,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
SHAH CONSTRUCTION DOCUMENT,6569-10-100-M1139-633-01,29-71-93-1617,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
SHAH CONSTRUCTION DOCUMENT,6569-10-100-M1139-634-01,29-71-93-1618,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
SHAH CONSTRUCTION DOCUMENT,6569-10-100-M1139-635-01,29-71-93-1619,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
SHAH CONSTRUCTION DOCUMENT,6569-10-100-M1139-636-01,29-71-93-1620,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
SHAH CONSTRUCTION DOCUMENT,6569-10-100-M1139-637-01,29-71-93-1621,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
SHAH CONSTRUCTION DOCUMENT,6569-10-100-M1139-638-01,29-71-93-1622,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
SHAH CONSTRUCTION DOCUMENT,6569-10-100-M1139-639-01,29-71-93-1623,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
SHAH CONSTRUCTION DOCUMENT,6569-10-100-M1139-640-01,29-71-93-1624,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
SHAH CONSTRUCTION DOCUMENT,6569-10-100-M1139-641-01,29-71-93-1625,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
SHAH CONSTRUCTION DOCUMENT,6569-10-100-M1139-642-01,29-71-93-1626,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
SHAH CONSTRUCTION DOCUMENT,6569-10-100-M1139-643-01,29-71-93-1627,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
"WELDING PROCEDURE SPECIFICATION (WPS-PL-18-16) For CS PIPELINE TO FITTING WELDING (6""x11mm)",6569-10-100-M1139-644-01,30-99-97-1724,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,PROJECTS,5,5,high,Specifications,5
"PROCEDURE QUALIFICATION RECORD (PQR-PL-18-16) For CS PIPELINE TO FITTING WELDING (6""x11mm)",6569-10-100-M1139-645-01,30-99-97-1725,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,PROJECTS,5,5,high,CRS,0
Construction QA Documents,6569-10-100-M1139-666-01,58-71-93-1705,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
Procedure for Digitization of Radiographic Films for Asab/ Shah / Qusahwira Areas,6569-10-100-M1139-667-01,30-99-97-1733,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,PROJECTS,5,5,high,CRS,0
CONSTRUCTION MATERIALS,6569-10-100-M1139-668-01,14-99-90-1731,,ENGG QA/QC,Undefined,Documents,package b schdule.xls,,0,0,low,CRS,0
CONSTRUCTION QA DOCUMENTS,6569-10-100-M1139-669-01,14-99-90-1732,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
"Method Statement For Installation of Mark Post, Road barrier & Flow line marker on existing / live flow lines.",6569-10-100-M1139-670-01,58-99-90-1628,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,PROJECTS,5,5,high,CRS,0
Method Statement For Metallic Pipe Threaded Lines Fabrication & Installation,6569-10-100-M1139-671-01,58-71-93-1624,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,PROJECTS,5,5,high,CRS,0
ITP for Threaded Lines – Qusahwira,6569-10-100-M1139-672-01,58-71-93-1625,,ENGG QA/QC,Documents,Procedures_Plans,package b schdule.xls,,4,4,medium,CRS,0
CONSTRUCTION MATERIAL DOSSIER,6569-10-100-M1139-673-01,29-99-23-1604,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
CONSTRUCTION QA DOCUMENT DOSSIER,6569-10-100-M1139-674-01,29-99-23-1605,,ENGG QA/QC,Documents,Documents,package b schdule.xls,,8,4,medium,CRS,0
PHSER III CLOSE OUT REPORT,6569-10-100-M1242-004-01,30-99-97-1612,,ENGG HSE,Documents,Reports,package b schdule.xls,,13,5,high,CRS,0
SY CDS,6569-10-100-M1242-005-01,29-01-93-1601,,ENGG QA/QC,Undefined,Documents,package b schdule.xls,,0,0,low,CRS,0
SY-RDS-1,6569-10-100-M1242-006-01,29-11-93-1601,,ENGG QA/QC,Undefined,Documents,package b schdule.xls,,0,0,low,CRS,0
SY-RDS-2,6569-10-100-M1242-007-01,29-12-93-1601,,ENGG QA/QC,Undefined,Documents,package b schdule.xls,,0,0,low,CRS,0
PHSER V REPORT,6569-10-100-M1242-008-01,30-99-97-1608,,ENGG HSE,Documents,Reports,package b schdule.xls,,9,5,high,CRS,0
PHASER V CLOSE-OUT REPORT,6569-10-100-M1242-009-01,30-99-97-1609,,ENGG HSE,Documents,Reports,package b schdule.xls,,5,5,high,CRS,0
PIPELINE TIE-IN SCHEDULE,6569-10-100-M1360-001-01,30-99-19-1601,A,PIPNG,Documents,Lists_MTOs_BOMs,package b schdule.xls,,6,4,medium,CRS,0
Water Disposal Flowlines Hydraulics Report (Sy 84 Well),6569-10-100-M1360-002-01,29-99-91-1603,,PIPNG,Documents,Reports,package b schdule.xls,PIPNG,5,5,high,CRS,0
Water Disposal Flowlines Hydraulics Report  (Sy Wdw),6569-10-100-M1360-003-01,29-99-91-1604,,PIPNG,Documents,Reports,package b schdule.xls,PIPNG,5,5,high,CRS,0
Updation Of Field Area Layout No. 112 For Shah Field.,6569-10-100-M1360-004-01,30-99-91-1720,,PIPNG,Drawings,Drawings,package b schdule.xls,,5,5,high,CRS,0
Updation Of Field Area Layout No. 112 For Shah Field.,6569-10-100-M1360-005-01,30-99-91-1721,,PIPNG,Drawings,Drawings,package b schdule.xls,,5,5,high,CRS,0
Updation Of Field Area Layout No. 112 For Shah Field.,6569-10-100-M1360-006-01,30-99-91-1722,,PIPNG,Drawings,Drawings,package b schdule.xls,,5,5,high,CRS,0
Updation Of Field Area Layout No. 112 For Shah Field.,6569-10-100-M1360-007-01,30-99-91-1723,,PIPNG,Drawings,Drawings,package b schdule.xls,,5,5,high,CRS,0
Pipe Support StandaRDS And Special Support Details .,6569-10-100-M1360-008-01,30-99-91-1724,,PIPNG,Drawings,Drawings,package b schdule.xls,,6,4,medium,Specifications,3
MANIFOLD EXTENSION FOR ASAB,6569-10-100-M2174-001-01,14-99-11-1620,,INST,Drawings,Drawings,package b schdule.xls,,4,4,medium,CRS,0
MANIFOLD EXTENSITON FOR QUSAHWIRA,6569-10-100-M2174-002-01,14-99-11-1613,,INST,Drawings,Drawings,package b schdule.xls,,4,4,medium,CRS,0
Residulal Engineering GL,6569-10-100-M2174-003-01,30-99-11-1605,,PIPNG,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
Residulal Engineering WDW,6569-10-100-M2174-004-01,30-99-11-1606,,PIPNG,Documents,Documents,package b schdule.xls,,4,4,medium,CRS,0
SITE VISIT REPORT - SHAH,6569-10-100-R113Z-001-01,29-99-11-1602,A,ENGG MGMT,Documents,Reports,package b schdule.xls,,5,5,high,CRS,0
SITE VISIT REPORT,6569-10-100-R113Z-002-01,29-99-11-1603,,ENGG MGMT,Documents,Reports,package b schdule.xls,,5,5,high,CRS,0
SITE VISIT REPORT - SHAH,6569-10-100-R113Z-003-01,29-99-11-1604,,ENGG MGMT,Documents,Reports,package b schdule.xls,,5,5,high,CRS,0
